Fdw;Tdw;Ta;Thwi;Pa;RH;Frl;Thwo
15,016094;13,3;13,98;58,28;486,02692;87;1,8;33,4
15,014232;13,24;13,7;57,64;479,46214;88;1,8;33,56
15,033204;13,14;13,64;57,56;482,97548;88,6;1,8;34,4
14,97068;13,04;13,64;58,2;477,91308;89;1,8;35,16
14,987168;12,94;13,38;57,62;480,20866;89,6;1,8;34,98
14,822932;12,86;13,22;57,64;483,0688;90,2;1,8;35,64
15,712854;12,78;13,28;57,54;483,99262;90,4;1,8;35,54
12,612898;12,68;13,16;58,48;489,60556;91;1,8;34,34
14,051208;12,62;13,06;57,64;481,3891;91;1,8;32,44
12,711192;12,5;13,02;57,22;484,32856;91;1,8;33,78
9,5947486;12,5;12,82;59,06;477,6098;92;1,8;34,92
5,5563438;12,4;12,72;57,26;481,949;92;1,8;38,4
7,8205004;12,26;12,72;57,86;487,7906;93;1,8;39,58
5,7072038;12,08;12,46;58,38;488,57442;93,8;1,8;43,76
5,1980114;11,6;11,76;57,56;489,6289;95;1,8;43,58
3,943222;10,82;10,72;58,68;488,31314;96,6;1,8;44,36
13,4822912;16,38;16,06;57,86;470,94706;61,6;3,44;39,32
10,07377;17,28;17,06;58,92;477,88044;57,6;3,4;41,6
14,929932;17,42;17,56;57,04;471,53962;57,6;3,4;33,36
15,360742;17,92;17,86;58,92;471,64224;57,6;3,4;37,26
15,019204;18,6;18,58;58,42;469,3187;55;3,4;34,16
15,117808;20,28;19,02;57,24;465,11016;54,8;3,4;34,58
15,01485;22,2;21,4;58,86;471,00306;53;3,4;35,56
15,044712;23,46;22,12;58,26;473,68586;53,2;3,4;35,6
14,8643;23,96;22,96;57,8;468,0869;52,6;3,4;36,56
14,749834;23,62;23,04;58,82;471,94086;52,2;3,4;40,34
15,202418;21,08;22,2;58,18;472,76208;52;3,4;36,9
15,473344;19,76;21,84;57,98;465,782;52;3,4;36,88
13,670169;19,62;20,5;56,98;471,36698;51,4;3,4;35,96
14,984056;19,78;20,68;58,88;472,3141;49,4;3,4;35,08
15,03258;19,92;20,82;58,48;470,36384;50;3,4;34,76
14,9909;20;21,06;56,56;474,6657;49;3,4;34,82
15,14207;20,22;21,4;58,86;467,22372;46,2;3,4;36,6
15,012674;20,52;21,94;59,08;466,02464;46,8;3,4;37
14,876122;20,68;21,6;56,3;471,50694;45,6;3,4;36,86
15,003964;20,88;22,12;59,38;469,00606;45,8;3,4;38,34
15,326838;20,94;22,02;58;469,37468;45,4;3,4;37,64
14,473928;21,08;22,08;57,9;470,19586;44,4;3,4;39,28
14,922782;20,94;21,66;56,9;461,63878;44,2;3,4;35,06
15,084216;20,94;21,96;58,7;463,40246;44,8;3,4;35,8
14,983746;20,92;21,84;58,26;461,72744;45;3,4;35,82
14,97939;20,92;22,2;57,02;475,5242;45;3,4;36,66
15,021692;21;22,28;58,62;469,9579;45,4;3,4;37,32
14,935534;20,84;21,88;58,94;471,68426;46,4;3,4;37,34
15,003344;20,8;21,96;56,58;453,13768;48;3,4;33,72
15,145184;20,82;21,8;59,2;458,33072;49;3,4;38,58
14,637542;20,76;21,66;58,4;469,24872;50,2;3,4;37,94
15,018582;20,48;21,46;57,76;473,90052;51,6;3,4;35,06
15,007696;20,04;21;58,06;467,8443;53,8;3,4;35,74
15,028848;19,54;20,66;58,8;471,09634;57,2;3,4;36,12
15,008008;19,08;20,56;57,7;465,91264;60,8;3,4;36,24
14,966324;18,64;20,2;58,24;469,0201;63,2;3,4;37,08
14,93771;18,18;19,48;58,46;467,20508;65,4;3,4;36,86
15,412378;17,78;19,04;58,24;469,1647;67,8;3,4;36,64
14,965704;17,5;18,84;57,02;472,34678;69,4;3,4;35,42
15,036626;17,18;18,24;59,08;469,58932;70,4;3,4;34,62
14,981256;16,82;17,94;58,44;470,27052;72;3,4;33,92
15,010184;16,6;17,68;56,5;467,2704;72;3,4;34,2
15,13896;16,32;17,4;59,52;477,42784;74;3,4;35,46
14,957932;16,14;17,38;57,44;473,70922;73,2;3,4;34,9
15,038182;15,98;17,02;58,02;473,82582;74;3,4;36,16
14,868654;15,8;16,88;58,8;475,07628;73,2;3,4;36,52
15,00272;15,58;16,74;57,34;472,66874;73,8;3,4;35,88
15,342078;15,46;16,58;57,68;476,82132;75,2;3,4;36,52
14,7657;15,34;16,14;57,64;474,06844;76,4;3,4;36,46
15,071772;15,18;15,94;58,62;471,08704;77,2;3,4;33,86
15,02076;15,08;16,24;58,04;472,22548;78,8;3,4;34,02
15,011742;14,92;15,86;57,3;471,56292;79,2;3,4;34,64
14,948598;14,7;15,66;58,76;473,65786;81,2;3,4;35,38
15,027916;14,46;15,32;58,06;473,6859;83;3,4;35,32
15,047824;14,3;15,14;57,18;468,39952;84;3,4;35,78
14,855282;14,24;15,06;59,38;476,98926;84,4;3,4;33,26
15,371316;14,1;14,86;57,52;472,55674;85;3,4;35,84
14,18434;13,94;14,66;58,06;473,17264;86,2;3,4;36,66
15,039734;13,82;14,48;57,92;477,3579;87,4;3,4;33,7
14,979702;13,7;14,32;58,36;477,06392;88,4;3,4;33,96
15,096658;13,6;14,16;57,96;476,448;89,4;3,4;34,48
14,96166;13,3;13,62;58,08;469,23006;89;3,4;35,2
14,829154;13;13,54;58,58;472,59874;90;3,4;35,36
14,959172;12,96;13,36;57,4;478,69694;90,6;3,4;35,34
15,23539;12,9;13,36;56,78;474,5537;91,4;3,4;34,28
15,05;12,76;13,36;58,66;481,06248;91,6;3,4;33,04
15,125898;12,62;12,62;59,02;480,57258;91,4;3,4;36,28
15,00303;12,52;12,78;57,62;485,23374;92;3,4;32,84
15,024494;12,42;12,78;57,68;482,53688;92;3,4;33,76
14,966328;12,4;12,7;59,08;482,97082;92,8;3,4;34,56
15,045648;12,38;12,84;57,96;480,84322;93;3,4;34,42
14,983126;12,28;12,54;56,96;483,41874;93,8;3,4;34,84
14,9853;12,04;12,26;58,58;476,65332;94;3,4;35,92
14,939578;11,52;11,64;58,56;482,4436;94,6;3,4;35,6
15,110032;11,32;11,88;58,24;484,15594;95;3,4;35,32
14,98188;11,48;11,98;57,42;484,53852;94,6;3,4;32,6
15,09106;11,48;11,7;57,68;487,86522;94,8;3,4;33,5
14,8811;11,42;11,9;59,06;486,70814;95;3,4;34,14
14,896338;11,44;11,82;57,78;483,3254;95;3,4;34,28
14,88172;11,12;11,62;57,82;485,71896;95;3,4;34,96
14,942998;11,2;11,54;58,82;492,741;95;3,4;35,24
14,97006;11,32;11,86;58,58;486,5588;95;3,4;31,74
15,563858;11,4;11,62;56,38;486,53084;95;3,4;35,16
14,275166;11,34;11,56;58,68;480,93186;95;3,4;36,56
14,910026;11,36;11,44;58,46;479,16354;95;3,4;33,14
15,285468;11,38;11,84;58,16;485,47634;95;3,4;33,34
15,098524;11,4;11,72;57,4;487,72994;95;3,4;34
14,953262;11,28;11,58;58,1;487,25868;94,4;3,4;35,04
15,031338;11,2;11,3;58,36;482,32226;93,6;3,4;35,02
15,101946;11,18;11,44;58,38;488,3598;90,6;3,4;35
15,298222;10,94;11,16;57,02;492,87166;86,4;3,4;33,74
15,061198;10,94;11,26;58,88;481,21178;80,2;3,4;32,8
15,14798;11,22;11,94;58,96;477,34388;73,4;3,4;32,76
15,024492;11,78;12,66;56,88;483,21344;71,2;3,4;32,8
15,012672;12,78;13,44;58,66;474,58168;71,6;3,4;34,74
12,9329722;13,66;14,22;58,28;478,90224;72,8;3,4;37,88
15,0021;14,6;15,32;57,38;483,01748;70;3,2;35,36
14,924024;15,78;16,16;58,92;468,71214;67,8;3,2;36,86
15,355454;16;16,18;58,14;482,19164;65,8;3,2;36,5
15,088884;16,3;16,72;58,7;474,4651;64;3,2;36,86
15,017962;16,68;17,1;58,04;477,52584;62,2;3,2;34,28
15,056842;17,18;17,64;59,22;469,0574;60,4;3,2;34,8
14,984988;17,84;18,48;57,3;475,78082;59;3,2;35,1
14,998678;18,66;18,94;58,42;476,26608;57,6;3,2;36,2
14,902872;19,84;19,44;58,92;469,66862;55,4;3,2;36,56
14,951086;21,64;20,54;57,2;480,74522;56,2;3,2;36,76
15,027604;23,5;23,28;58,28;469,6966;55,6;3,2;34,34
15,1654;24,86;23,72;59,22;463,34646;53,2;3,2;37,8
14,672692;24,94;23,48;56,92;471,54426;50;3,2;37,6
14,995564;24,04;23,86;58,2;462,28732;48,8;3,2;35,44
14,920914;22,12;24,22;58,36;468,81476;49,4;3,2;35,6
15,008942;21,18;23,4;58,18;467,34974;48;3,2;35,98
14,980014;21,16;22,38;57,42;469,51;46,6;3,2;36,74
14,956686;21,36;22,5;58,36;461,26552;45,2;3,2;37,36
14,968504;21,5;22,46;58,26;470,13054;44,6;3,2;37,38
14,9909;21,52;22,78;57,82;471,63294;45,6;3,2;37,6
15,257472;21,64;23,24;57,62;471,46962;44,6;3,2;36,64
15,081726;21,76;23,24;59,88;470,34986;43,8;3,2;35,38
14,301918;21,98;23,24;56,38;469,90658;44;3,2;37,9
15,02636;22;23,62;58,86;469,02008;43;3,2;36,16
14,980946;21,92;23,22;58,14;469,1274;41,6;3,2;35,76
14,936466;21,98;23,46;57,36;456,95434;42,2;3,2;36,5
14,987168;21,96;23,4;58,38;461,70874;45;3,2;37,28
15,003344;22,08;23,58;58,04;464,44762;47,4;3,2;37,26
15,017338;22,16;23,68;58,34;468,67478;48;3,2;38
15,003034;22,2;23,34;58,62;472,1835;48,8;3,2;38,1
15,318126;21,8;22,94;58,28;472,16486;50,4;3,2;37,72
14,718418;21,38;22,6;57,54;467,37772;52;3,2;36,4
14,949838;21,1;22,2;58,4;461,32152;56;3,2;35,5
14,925578;21,18;22,18;58,94;471,61892;58;3,2;35,48
14,950462;21,18;21,9;57,1;473,86784;60,8;3,2;35,44
14,95544;20,62;21,4;57,46;470,49446;64;3,2;36,6
15,021692;20,18;21,04;58,94;470,3265;67,4;3,2;37,3
14,880164;19,64;20,54;57,46;470,15854;72,4;3,04;36,76
13,5970688;19,2;20,12;57,72;466,8085;75,4;3;37,34
15,410512;18,86;19,8;57,48;465,28744;77,8;3;37,2
14,262724;18,56;19,46;58,4;464,23296;80;3;36,12
15,009876;18,3;18,86;57,96;472,9767;81,8;3;34,18
14,971924;17,92;18,48;56,22;470,04658;84;3;34,62
15,015474;17,62;18,26;58,94;469,71062;85,8;3;35,84
15,043158;17,42;17,86;57,78;472,23016;88;3;35,48
15,100392;17,24;17,58;56,14;475,3469;88;3;36,18
14,881096;17,06;17,32;59,38;474,47906;89;3;37,42
14,982814;16,92;17,06;57,04;475,78084;90;3;36,36
15,19153;16,76;16,96;57,86;474,67038;90,6;3;37,22
13,9597592;16,64;16,7;57,46;475,22094;91;3;37,12
14,965704;16,46;16,4;58,36;478,8649;91;3;34,52
14,983746;16,26;16,28;57,56;479,40148;90,8;3;34,54
15,027606;16,14;16,1;56,44;475,36556;90;3;35,2
15,014228;16;16,06;58,14;485,64432;90;3;36,18
14,976904;16;16,12;58,04;474,76368;90,2;3;35,96
14,955752;15,88;16,08;57,28;476,6113;91;3;36,06
15,001788;15,78;16,04;56,36;478,28168;91;3;33,22
15,104748;15,62;15,7;58,74;479,80746;91,2;3;37,24
15,3567;15,44;15,78;58,26;477,42318;92;3;36,92
12,619117;15,34;15,58;57,44;476,63934;92,6;3;37,02
15,019826;15,2;15,5;57,54;472,986;93;3;34,54
15,02978;15,02;15,22;58,46;482,2896;93,4;3;35,04
15,040978;14,82;15,02;58,24;480,35796;94;3;35,24
15,025116;14,58;14,68;57,7;481,82772;94,8;3;35,9
14,93709;14,24;14,42;58,48;481,921;95;3;36,16
15,099148;13,82;14,18;58,36;482,46694;95;3;36
15,412068;13,7;14,2;58,14;484,86048;95;3;34,76
14,957928;13,7;14,12;56,88;479,89606;95;3;33,1
14,97348;13,74;14;59,02;476,86796;95;3;34,12
14,925892;13,8;14,24;58,64;483,61008;95;3;33,84
14,998986;13,62;14,24;56,34;485,08442;95;3;34,1
14,972548;13,96;14,72;58,68;485,98028;95;3;35,88
14,93802;14,04;14,8;59,1;476,09342;95;3;35,94
14,95233;14,4;15,1;56,42;477,04524;95;3;35,72
15,064932;14,48;15,1;58,38;479,06086;95,8;3;37
15,207084;14,4;14,92;58,4;485,30374;96;3;36,86
12,3516142;13,98;14,3;58,32;477,9831;96;3;36,34
15,00614;13,7;14,36;57,82;479,65808;96;3;33,84
14,977526;13,82;14,28;58,04;482,83552;96;3;34,68
14,96695;13,94;14,42;59,06;477,22256;96;3;35,22
15,016406;13,8;13,98;57,56;480,16668;96,2;3;35,18
14,923402;13,62;13,6;57,8;480,31132;97;3;35,82
15,033826;13,28;13,44;58,96;476,1074;97;3;36
15,022004;12,98;12,88;58,16;480,4373;97;3;32,32
15,217344;12,42;12,72;56,52;486,17624;97;3;35,76
15,022318;12,48;12,7;58,3;487,10938;97;3;33,6
14,964462;12,26;12,54;58,96;489,77356;97;3;33,72
14,990898;12,18;12,44;57,26;480,67988;97,8;3;33,62
14,973168;11,92;12,36;58,08;486,70814;98;3;34,66
14,931488;11,72;12,04;58,5;488,71444;98;3;35,16
15,033822;11,72;12,2;58,44;484,13264;98;3;35,18
15,142384;12,06;12,92;58,08;484,5712;98;3;35,06
15,17971;12,5;13,42;56,88;486,54946;98;3;33,98
14,94673;12,76;13,56;58,24;481,30046;97,4;3;33,26
15,038804;12,96;13,68;58,68;480,17134;97;3;33,32
14,92869;13;13,5;57,44;486,27886;96;3;33,22
14,989968;13,18;13,58;56,28;477,3812;95;3;34,14
15,002724;13,52;13,76;59,14;482,1683;91,4;3;35,58
14,946108;13,8;13,8;57,46;475,86014;85,6;3;35,04
12,972786;14,06;13,92;56,62;481,33312;81;2,96;37,68
15,14425;14,34;14,38;57,94;482,91948;77,4;2,8;36,2
14,84595;14,76;14,86;57,96;484,15592;75,2;2,8;36,04
15,045022;15,24;15,5;57,72;476,21008;72,4;2,8;33,48
15,03196;15,94;16,3;56,92;477,71248;68;2,8;34,18
15,001474;16,48;16,88;58,5;474,3671;64,4;2,8;35,02
14,982814;16,88;17,1;57,74;472,67338;63;2,8;35,28
14,983124;17,28;17,52;57,04;468,0356;59,4;2,8;35,9
14,982814;17,7;17,96;58,48;473,03736;57,2;2,8;36,22
14,930244;18,5;18,34;57,1;480,25998;56;2,8;32,64
15,157624;19,86;18,74;56,92;470,6391;54,2;2,8;36,76
14,404878;20,88;20,12;58,18;474,82432;53,8;2,8;37,1
15,019828;21,5;20,84;57,68;471,9269;55,2;2,8;33,86
14,93491;21,84;21,12;56,96;471,28298;54,6;2,8;34,42
14,968816;21,32;21,42;57,8;475,95812;52,2;2,8;35,44
15,072708;19,82;21,84;57,88;469,54264;52,2;2,8;35,82
14,97939;19,5;21,36;57,06;469,57996;52,4;2,8;36,26
14,887632;19,8;20,86;57,84;471,7496;49,8;2,8;37,3
15,33679;20;21,04;57,98;476,42468;49,6;2,8;36,92
14,944864;20,12;21,14;58,32;467,72296;50;2,8;35,88
14,957926;20,28;21,34;55,82;473,99848;49,6;2,8;33,88
15,057154;20,48;21,22;58,6;479,24284;47,8;2,8;35,24
14,929934;20,56;21,6;58,2;464,24228;48,2;2,8;34,88
15,008008;20,8;22,06;56,14;469,56132;47;2,8;35,16
14,968504;20,84;21,86;58;469,07606;47,2;2,8;36,96
15,024494;20,84;21,68;58,78;468,81478;46,4;2,8;36,84
14,956996;20,9;21,72;56,36;470,71842;46;2,8;36,32
15,031026;20,94;22,02;57,96;467,58766;45,8;2,8;37,68
15,332748;20,82;21,72;58,04;473,97052;44,8;2,8;37,52
13,5364152;20,7;21,62;57,96;470,54582;45,6;2,8;37,12
14,952954;20,68;21,66;57,48;472,22082;46,2;2,8;34,66
14,974724;20,62;21,5;57,74;469,09006;46,8;2,8;35,46
15,01983;20,48;21,2;58,42;473,13534;47,8;2,8;35,7
14,99619;20,36;21,18;57,92;462,6046;50,2;2,8;36,06
14,908158;20,24;20,98;57,42;466,90182;51,4;2,8;36,08
14,960416;20,1;20,8;58,72;470,2192;54,6;2,8;37,02
14,98437;19,56;20,4;57,72;471,75428;57,2;2,8;33,42
15,227924;19,14;20,1;57,2;475,37956;59;2,8;37,34
14,108128;18,66;19,9;58,82;475,61286;60,6;2,64;37,88
14,95824;18,26;19,4;57,86;472,18348;61,6;2,6;34,3
15,01143;17,86;18,96;57,54;479,16354;63,2;2,6;34,88
15,024806;17,5;18,54;57,98;471,61424;65,4;2,6;35,54
14,994942;17,16;18,06;57,94;476,15412;67,6;2,6;36,42
14,96664;16,86;17,86;57,62;470,44782;70,4;2,6;35,84
14,788404;16,66;17,56;57,26;474,33908;74,4;2,6;36,34
15,472408;16,36;17,36;58,22;476,69532;76,4;2,6;35,12
14,921846;16,1;17;58,32;473,6532;78;2,6;33,06
14,050278;15,96;16,72;55,92;477,00792;79;2,6;36,2
14,956372;15,8;16,42;58,3;480,73124;79,8;2,6;34,14
14,927446;15,58;16,24;57,9;476,18672;80,2;2,6;34,02
12,8720066;15,4;16,1;57,16;478,3237;80,8;2,6;36,42
15,057466;15,2;15,9;57,22;476,86796;81;2,6;35,34
14,94673;15,02;15,68;58,06;481,29112;81;2,6;35,94
14,854346;14,9;15,54;58,02;483,56804;81,4;2,6;35,64
15,351722;14,8;15,42;57,98;472,38878;82;2,6;34,48
15,001476;14,66;15,22;56;483,26478;82;2,6;32,54
13,4972216;14,5;15,12;58,82;482,73288;82,8;2,6;37,2
15,00272;14,36;14,98;58,22;478,2817;83;2,6;33,52
14,964462;14,2;14,84;56,84;481,16984;83;2,6;33,8
15,062442;14,06;14,7;58,38;480,76856;82,6;2,6;34,8
14,924336;13,92;14,46;58;488,26182;82,8;2,6;34,78
14,869902;13,74;14,24;56,5;481,3331;83,4;2,6;34,86
15,04378;13,68;14,34;58,24;473,86318;84;2,6;35,94
15,273648;13,62;14,34;57,86;479,04686;84;2,6;35,5
14,700378;13,5;14,14;57,74;478,72028;83,2;2,6;35,16
15,021692;13,4;13,84;56,92;476,27072;83;2,6;30,28
14,917492;13,28;13,76;57,5;481,27716;84;2,6;33,24
14,95855;13,2;13,6;59,16;477,04056;85;2,6;33,62
15,041912;13,16;13,9;57,08;480,20866;84;2,6;33,38
14,762896;13,1;13,64;56,2;484,87444;84;2,6;34,18
14,87861;12,92;13,46;59,26;478,1324;85;2,6;35,72
14,976592;12,74;13,18;58,14;479,37348;85,6;2,6;35,02
15,180018;12,68;13,3;56,68;480,50262;86;2,6;35,02
14,147012;12,6;13,2;58,3;485,26174;85,4;2,6;36,4
15,031648;12,52;12,98;58,24;486,00828;85,4;2,6;33,08
14,996814;12,28;12,78;58,08;481,7857;85,6;2,6;33,04
14,971614;12,1;12,76;57,7;481,19314;86,4;2,6;33,72
14,944244;12,1;12,76;57,68;485,49038;89,4;2,6;34,34
14,98157;12,04;12,74;58,22;482,20096;91,4;2,6;34,46
14,966948;11,78;11,84;57,84;486,92742;92,4;2,6;34,86
15,187174;11,46;11,62;57,66;480,83854;93;2,6;33,64
14,893228;11,22;11,28;59,2;489,4983;93;2,6;32,22
15,231656;11,02;11,36;58,44;484,33788;94;2,6;35,36
14,995878;10,96;11,4;57,08;480,01736;94;2,6;32,1
15,012986;11,1;11,38;58,56;486,12024;94,8;2,6;33,32
15,007386;11;11,26;58,58;474,00314;95;2,6;33,18
15,058086;10,9;10,98;57,46;489,97884;95;2,6;33,16
